Error Code,Internal Software Tag,Explanation,Possible Root Cause
0x40010001,TER_MISC_ABORT,The operation was aborted,
0x40010002,TER_MISC_CREATE_FILE_FAILED,The file could not be created,
0x40010003,TER_MISC_OPEN_FILE_FAILED,The file could not be opened,Varies.  PCIe link failure with probe could cause system files to be missing.  Could also be unable to open a video clip.
0x40010004,TER_MISC_INVALID_FILE,The file has invalid format,
0x40010005,TER_MISC_FILE_NOT_OPEN,The file is not open,
0x40010006,TER_MISC_WRITE_FAILED,The write operation failed,
0x40010007,TER_MISC_NOT_IMPLEMENTED,The method is not implemented,
0x40010008,TER_MISC_BUSY,Busy: The operation could not be performed,
0x40010009,TER_MISC_PARAM,One or more parameters are either null or out of range,
0x4001000A,TER_MISC_PERMISSION,Permission is not granted to perform the operation,
,,,,
0x40030001,TER_DAU_PWR,HV power supply monitor fault detected,
0x40030002,TER_DAU_MSI,There was an MSI error in the Dau,
0x40030003,TER_DAU_TXC,There was a fault in the transmitter,
0x40030004,TER_DAU_PCIE,There was PCIe error detected from the Dau,
0x40030005,TER_DAU_STREAMING,An error occurred in the Dau while Streaming,
0x40030006,TER_DAU_SEQUENCE,An error occurred in the Dau while processing the Sequence,
0x40030007,TER_DAU_MOTION_SENSOR,Invalid WHO_AM_I register reading,
0x40030008,TER_DAU_MEM_ACCESS,Dau Register or memory access error,
0x40030009,TER_DAU_UNKNOWN,Unknown Dau error,
0x4003000A,TER_DAU_ASIC_CHECK,ASIC integrity check fail after multiple power up retry cycles,
,,,,
0x40040001,TER_TABLET_PUCK_OPEN,Failed to access the Puck,
0x40040002,TER_TABLET_PUCK_SCAN,Failed to put the Puck in scanning mode,
0x40040003,TER_TABLET_PUCK_CONFIG,Failed to configure the Puck,
0x40040004,TER_TABLET_PUCK_FIRMWARE,The Puck firmware needs to be updated,
0x40040005,TER_TABLET_PUCK_UPDATE_FIRMWARE,The Puck firmware update failed,
0x40040006,TER_TABLET_PUCK_UPDATE_FIRMWARE_BUSY,The Puck firmware is already in progress,
,,,,
